Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
EXTRACCIÓN  DE MINERALES,Mineral de Cobre,274.778,312.39099999999996,145.672,293.079,281.664,1123.2889999999998,155.453,215.373,412.912,150.75794000000002,1082.3916699999997,1182.01367,851.0533399999999,662.91837,1815.36114,6073.43057,10409.389000000001,8493.09739,14626.450850000001,13293.97833,45757.49968,48032.591790000006,46353.45783999999,40476.365150000005,29954.083730000002,27246.43519,15259.91521,9361.306719999999,8211.21468,10926.33932,13294.220059999998,11435.58826,10850.646970000002,5034.292939999999
EXTRACCIÓN  DE MINERALES,Mineral de Oro,4.47,0.587,0.001,0.005,,,,0.033,0.035,0.00633,0.0059900000000000005,0.1547,0.25744,0.28976999999999997,0.45681999999999995,0.06688000000000001,0.19826000000000002,0.62499,6.328220000000001,6.687209999999999,6.332180000000001,5.70594,4.53921,5.35493,4.800590000000001,3.62746,3.9953600000000002,3.37847,5.209779999999999,1.95615,1.7867799999999998,0.7680899999999999,0.90042,0.12708
EXTRACCIÓN  DE MINERALES,Mineral de Antimonio,1607.2810000000002,1057.937,5119.004,2881.919,1953.341,1383.8700000000001,1270.986,806.0099999999999,1131.122,569.54,1558.02132,1764.56139,1506.3159899999998,4381.17264,4470.09257,1808.2903200000003,1760.4010000000003,1393.34391,2399.2321299999994,802.76372,1218.66136,2408.66471,1266.52774,1378.0764499999998,1061.1668,1526.9587100000003,2065.51066,2066.8627500000002,1555.8595799999998,3026.921,3319.5298699999994,1954.78627,3097.9528499999997,448.75437
EXTRACCIÓN  DE MINERALES,Sulfato de Bario Natural,361.904,,3295.959,10822.261999999999,4745.0,4314.0,2600.0,5960.12,3250.0,6855.0,1555.5,1851.0,6969.4,13369.7,10121.1,9819.8,11082.0,2069.0,8289.2,22196.936,21157.608,30808.00319,26240.0,46732.0,16632.0,32924.0,55790.09,39458.2,9611.0,26780.5,48952.0,54508.5,67787.5,14911.5
EXTRACCIÓN  DE MINERALES,Piedras Preciosas y Semipreciosas Naturales,46.44800000000001,231.44,228.627,311.54499999999996,246.061,137.141,145.501,359.97299999999996,188.237,64.92721999999999,3.76775,3.22079,199.61435,89.09143999999999,127.02099999999999,135.44689,248.94947000000002,515.02584,460.11215000000004,267.02373,95.24049,246.46258,188.70363999999998,242.64141,152.15337,221.58594000000002,243.48747,216.21917,431.57869,510.98305,421.99284000000006,343.67467000000005,499.78231000000005,62.05507000000001
EXTRACCIÓN  DE MINERALES,Otros Minerales,50427.303,39013.111,2504.45,267.314,39.642,3.032,614.332,132.722,116.071,171.006,177.39632999999998,290.49800000000005,713.65,1140.7839999999999,758.2250000000001,1593.37406,1641.955,491.048,9212.75495,18141.337069999994,16144.977239999998,3445.4220000000005,18721.29965,24454.27611,2939.922,41941.84152,77263.06042000001,99631.8881,37216.581600000005,46529.513,250859.98895999996,67366.11149000001,104872.39905,28931.1923
EXTRACCIÓN  DE MINERALES,Otras Minas y Canteras,748.4310000000002,707.1220000000001,6365.745999999999,10836.69,1387.413,1948.7749999999996,7925.721000000003,1890.6870000000001,1790.7659999999992,1462.6250199999997,5409.259870000001,3370.09127,2167.714490000001,1495.068879999999,39405.02181000001,44899.697550000004,6532.61099,5213.720670000001,3196.8637200000007,3614.0886700000005,4210.90008,4032.092030000001,5312.683709999999,36963.90130000003,121706.90437000003,63258.616649999996,6888.91022,9271.737500000003,15132.892000000002,22163.1895,27611.343019999997,22321.00545,37895.95234,15776.311000000002
INDUSTRIA MANUFACTURERA,INDUSTRIA MANUFACTURERA,394992.72000000003,419285.66900000005,605341.2270000002,624164.1440000001,776590.4319999999,883563.2369999994,956262.2329999999,1037526.4310000001,1326403.8839999996,1435381.2459999998,1629135.6073899993,1754060.9614899994,1972495.4534300005,1903844.3810199995,2045747.8880700008,2032396.4357699996,1818646.4822499994,2088333.8583200008,2127833.9445399996,1855359.6150599995,2181256.7224999997,2711837.9183900007,2712342.462300001,2597596.79276,2881115.99953,2670909.106829999,3095542.55311,3319126.1380100003,3041945.2762900004,3744786.61926,4493315.671830001,4078746.89176,3647849.8200999997,612832.1501900001
INDUSTRIA MANUFACTURERA,Productos Derivados de Soya,154212.002,210861.60400000008,264476.913,364986.002,465459.035,564725.3369999999,643142.09,722583.3049999999,973766.2040000001,1087302.90571,1298120.45785,1361814.01131,1388911.8095999998,1382636.29303,1428302.7550000001,1321943.8420499999,1016662.5873000001,1251063.1070700001,1336954.543,1300797.8018900002,1533224.79826,1826389.48419,1992349.62481,2005442.78655,2219202.9040000006,1864492.6890000002,1977114.7789999999,2046969.43432,2087633.8612199998,2458697.52523,2950768.5809899997,2765947.58668,2022549.3411800002,235268.93435
INDUSTRIA MANUFACTURERA,Oro Metálico,0.16399999999999998,6.228999999999999,10.181,10.780999999999999,9.863999999999999,10.496999999999998,12.188000000000002,10.220999999999998,10.125000000000002,10.756520000000002,9.42515,6.56295,3.40069,6.011299999999999,7.481189999999999,6.20103,5.825500000000001,4.421469999999999,2.7453,1.8017899999999998,1.68561,8.17849,35.77483000000001,20.702600000000004,19.9325,28.745470000000008,31.855049999999995,41.758660000000006,24.718020000000003,50.89009,69.29564,44.62663,9.37678,0.8192600000000001
