País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022, 2023(p),2024(p),Enero a Marzo 2025(p)
Guam,,,,,,,,,,,,0.17,0.41500000000000004,2.045,0.6769999999999999,0.5715,0.5195000000000001,0.04,,,,,,,,,,,,,,,,
Guatemala,,,,,,3.3360000000000003,0.51,0.51,1.629,166.946,427.64270000000005,77.92116,1666.5184,453.29332999999997,444.7682,178.2149,9.675699999999999,1791.8654,461.079,1325.9059999999997,872.97255,3539.777,590.9203499999999,2713.4085000000005,841.18323,1074.25351,660.23957,1325.0373000000002,1130.99481,1397.4368900000002,4273.4254900000005,8624.41675,4095.47534,1153.4820000000002
Guayana Francesa,,,,,,,,,,,,,,,,,,,51.120000000000005,92.01599999999999,,0.07,0.303,,,,0.646,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,23.5,243.0,
Guyana,,,,,,,,,,,,30.567749999999997,40.680099999999996,20.49385,,,0.1444,,,81.792,,,,0.35,60.619099999999996,,,,,,0.0285,,,
Haití,,,0.002,,,,,,,12.065,14.046,84.9068,65.79301,196.44038,114.61505,160.438,,57.6061,2311.5678000000003,20.448,14.4,1184.1704,136.07999999999998,50.0,42.0,,,33.8561,32.32021,26.243,0.09984,,,
Honduras,,,,0.258,,1.558,1.1,21.222,37.263,50.027,115.14370999999998,150.30678,170.9765,50.06233,100.04347,96.5042,49.94836,24.469999999999995,363.27142000000003,455.3439,83.885,1.296,61.8585,375.1165,357.06958999999995,508.2025,1339.8468399999997,1117.553,836.8017800000001,1367.5865000000001,45.47882,339.57697999999993,35.52996,17.7174
Hong Kong,0.003,4.0729999999999995,573.679,72.74,0.437,69.101,88.18,251.4,105.31500000000001,282.10469,661.45857,879.5136999999999,1985.4837799999998,1820.83563,1212.66327,1870.4191999999998,929.0994099999999,869.84874,1413.39676,1233.1120900000003,749.52333,846.0894299999999,107755.10055999999,377.41384,168.38353000000004,889.30929,1301.5157499999998,2356.4768599999998,671.8028300000001,1389.4956199999997,11474.6921,14510.75322,15350.467700000001,3316.55204
Hungría,0.07,0.098,0.37,0.261,0.103,,,,,0.25,,,,,,1.559,0.9387,,,0.235,0.8190000000000001,0.858,0.7123,13.45955,,0.307,21.6612,,,,0.138,,,
India,342.368,61.297000000000004,30.98,36.45,,0.5,0.18,242.95,6646.588,7397.223800000002,9058.3366,14824.414799999999,9735.732300000001,6609.946,10565.183,9149.1055,20774.31776,9180.09945,21499.504829999998,13836.33285,7569.85247,3291.4080000000004,6092.589,11374.87235,8588.75311,5336.920330000001,11539.02388,11478.51762,15764.361139999999,25973.84286,2753.91935,21947.48736,18737.126170000003,2958.86972
Indonesia,,,,,,62.11,,852.5,108.5,193.378,196.857,368.457,3448.44876,1820.60747,332.74746,249.226,579.3465,142.049,833.2180000000001,180.794,242.004,,300.0,22.643,3.033,15.597100000000001,2428.574,4134.97004,7323.4,22386.64,17203.989999999998,12038.512999999999,17551.15312,189.0
Irak,,,,,,,,,,,,,,,,,,,,,0.66107,,,,,,,15.968,,,,48.0,,
Irán. Republica Islámica Del,,,,,,,,,,,,,,,,,0.072,709.48956,175.05,360.16001,29.07694,,,,25.444,,,,,,,,,
Irlanda (Aire),,,31.968,14.18,1.5350000000000001,32.348,18.656,31.2,8.912,23.736,31.384,39.45616,0.3759,0.1466,0.2325,10.81449,32.04316,48.0,30.18716,254.338,247.57909,87.876,368.35096,349.847,41.904,29.23382,16.0392,26.73051,25.9,66.4,160.78,21.0,98.08672,
Islandia,,,,0.051,0.865,,,0.122,0.364,0.061,,,,0.0232,0.032799999999999996,,,,,23.0,,,0.164,0.16699999999999998,0.082,0.078,20.225360000000002,,,,,,,
Israel,,,0.05,104.737,98.874,118.626,70.23400000000001,249.99900000000002,93.67,201.67600000000002,171.52960000000002,121.5085,213.7158,343.5747,1052.7055,920.2714800000001,880.81515,1617.63565,2770.55692,2127.75372,1489.6717800000001,1772.0867200000002,1291.0219800000002,861.7899999999998,798.7179999999998,562.2655,890.18552,703.4291999999999,845.5450000000001,1097.73528,951.4300000000002,1218.0707,1088.29,188.968
Italia,1028.2179999999998,460.17300000000006,2884.2970000000005,7119.086,8296.966,7391.08,8181.801,7576.423000000001,8360.85,6438.736630000001,7406.11862,16968.46725,12058.48197,9895.989469999999,12415.581769999997,13065.268170000001,9416.791119999998,9101.718159999999,11922.19401,10498.56517,32786.58274,77505.92691,49219.43348,29680.663370000002,30087.823819999998,16423.9235,12802.22634,15499.258900000003,7398.14467,10447.651319999999,7511.133519999999,7024.3992899999985,6351.072190000001,1552.2595400000005
Jamaica,,,,17.94,37.980000000000004,20.115000000000002,,,,21.249,,10.18925,1902.388,,3.9105,18.1,,,22.68,,,4636.08,144.2448,25.0,7.669,,,,50.0,82.974,220.0,6237.786,46.90384,41.638000000000005
Japón,677.161,2054.067,1121.053,1948.8939999999998,2352.077,2982.237,2592.217,7487.821000000001,2565.7729999999997,2600.88925,9273.83954,32536.173759999998,100470.70083,168783.22657,228203.95872000005,222652.58557999998,163492.43856,218670.96995,296948.95386999997,309341.27496000007,278881.77602,285717.30643999996,167096.23331,233227.69142999998,222179.68454000002,260921.26053000003,312591.39298000006,366447.20457,285919.7088700001,364396.36169000005,376594.80831,251511.62527999992,196772.43550999998,40559.54321
Jordania,,35.0,,,36.0,,,,,,,,101.25519,,,,38.82722,76.3207,38.20484999999999,262.07889,49.26788,0.036,43.43065,,,11.47367,,,24.968130000000002,,96.51971,,28.49277,
Kazajstán,,,,,,,,,,,,,,,,21.77,0.05788,0.01246,0.01133,,,,23.952,,16.0,,,20.8,517.494,2519.254,455.331,,103.968,
Kenia,,,,,,,,,,,,,,,,0.0485,0.092,0.098,,,,,,,,,,0.0645,0.2,,252.478,182.486,,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.75999999999999,,,
Kuwait,58.42,,,,,,,,,40.0,,,,15.798,,,,,,0.0025,,,,132.975,45.975,6.544,3.6,2255.1,1750.8639999999998,1654.7988,111.184,860.2339999999999,78.322,16.5
"Laos, Republica Popular Democrática De",,,,,,,,,,,0.09429,,,,,,,250.32,,,,0.49,,,21.482,,,,,,,,,
Letonia,,,,,,,,,,,192.0,96.0,32.0,64.768,63.968,32.0,64.06508,16.25,20.027,1.28,32.0,79.934,48.0,,32.0,0.0581,16.04538,47.935,8.48194,22.1,68.23344,200.791,324.56100000000004,31.988
Líbano,,,43.288,,0.48,106.0,0.036,17.142,,94.57499999999999,,57.58,34.77407,,31.936,52.812,,291.625,144.893,106.0029,61.702999999999996,72.867,146.89919999999998,59.30988000000001,119.77505,112.53125,53.861,57.172,102.4532,240.0,45.42950999999999,26.085,20.0,
Liberia,,,,,,,,,,,,,,,0.0335,,,,,,,,,,,,,,,,23.5,,23.5,
Libia,,,,,,,156.4,,,,,,,,19.343,19.095,,,,,15.967,,,,,,13.971,15.967,36.6082,,219.61863999999997,123.72991,235.0,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,106.19,,,,,,,,,
Lituania,,,53.581,,,,,,,16.0,,32.0,,16.0,64.0,32.0,127.968,116.0,930.1209,33.516999999999996,80.0,335.852,136.96672,124.994,180.036,164.2855,292.831,462.0730000000001,190.0,113.043,142.70399999999998,240.60500000000002,797.3507999999999,324.0
Luxemburgo,,,,,,,,,,,,,,,,,69.26096999999999,,112.82876999999999,,,,,,,3.1585,,0.3,0.308,,6.6897199999999994,,,
Macao,,,,,,,,,,,,,,,,19.45,,,,,,,3.3146,0.426,,3.4,0.55157,,,0.332,0.69565,0.44164,,0.00545
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1858.2,,,,,
Malasia,1851.654,806.722,393.923,813.252,722.9689999999999,601.821,1003.893,919.711,2453.853,705.542,2696.8066099999996,4747.97791,5873.4624699999995,4296.78378,4469.61297,9635.312399999999,4846.8323199999995,3369.7671899999996,1185.46067,3623.2222500000003,3121.71803,46050.448860000004,40351.12338999999,81460.35528999999,13217.634599999998,10016.006000000001,13556.515,9172.843,6926.771860000001,13677.531920000001,4716.66421,6026.798480000001,9564.35748,863.7981600000002
Malta,,,,20.0,,0.1,,,,,,,,,,,13.9,15.41918,18.5,17.22715,,6.0,38.0,,,,7.04667,19.95576,18.07441,35.72802,18.12228,,9.90229,17.00775
Marruecos,18.0,,,,,,,10.8,,,,,17.28,,34.9,109.74669999999999,105.07000000000001,64.107,53.99214,52.047,47.7,209.73000000000002,158.25681999999998,133.48999999999998,63.72,63.18,94.74,33.576,57.66,75.196,33.480000000000004,68.88,71.53280000000001,
Martinica,,,,13.05,27.78,28.165,55.358,,,,,,,,,,,,,,,100.0,0.2,25.271,1.1,50.19,68.789,94.05113,24.1,64.8989,51.78296,25.0,143.81322,
Mauricio,,,,,,,,,,,,,,,,,,,,,,,,,,48.426429999999996,95.96000000000001,47.980000000000004,64.5,51.365,277.6378,184.1787,329.3802,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77452,15.018540000000002,13.98902,
